test,P,violated,k
DeadlockExample,0.5,4,5
DeadlockExample,0.8,4,11
MinimizationTest,0.5,0,5
MinimizationTest,0.8,0,11
MinimizationTest,0.9,0,22
MinimizationTest,0.95,1,45
MinimizationTest,0.99,1,230
MinimizationTest,0.999,4,2302
DeadlockExampleJVM,0,100,100
MinimizationTestJVM,0,0,100
