test,avg_time,median_time,min_time,max_time,std_time,count_time_<30
Wronglock3Bad,1.5568248164688552,1.5309312343597412,0.9999,2.0457561016082764,0.12374754284507214,0.0
StackBad,1.799927483320236,1.7199212312698364,1.0516784191131592,3.7727057933807373,0.4527626112854255,0.0
WronglockBad,1.421269054412842,1.404866099357605,1.1954898834228516,2.3486883640289307,0.10484035233821982,0.0
Wronglock1Bad,1.3493567390441894,1.337224006652832,1.176898717880249,1.6917309761047363,0.07443208808314823,0.0
Wronglock1Bad_normalJPF,1.364552072763443,1.3651221990585327,1.2383394241333008,1.6108300685882568,0.043712887904639466,0.0
StackBad_normalJPF,2.2841938455104827,2.2790064811706543,2.1030075550079346,2.685652256011963,0.07082118571111459,0.0
Wronglock3Bad_normalJPF,7.334985324552843,7.331374645233154,1.0,7.95818018913269,0.27260305550348346,0.0
WronglockBad_normalJPF,,,,,,1000.0
TwostageBad,7.607848650217056,7.140132904052734,1.2649338245391846,29.93934440612793,3.785565013223541,0.0
TwostageBad_normalJPF,2.858404706954956,2.6373273134231567,1.9508180618286133,9.201908826828003,0.7058141798783178,0.0
