test,result
StackBad,1.2069752216339111
StackBad,0.8795216083526611
StackBad,1.3225884437561035
StackBad,1.220665454864502
StackBad_jpf,1.7507805824279785
StackBad_jpf,1.7613391876220703
StackBad_jpf,1.666480541229248
StackBad_jpf,1.7388556003570557
TwostageBad,5.640751838684082
TwostageBad,2.5690391063690186
TwostageBad,5.594209432601929
TwostageBad,2.516892433166504
TwostageBad_jpf,0.9456298351287842
TwostageBad_jpf,1.0785224437713623
TwostageBad_jpf,0.9405317306518555
TwostageBad_jpf,0.9939801692962646
Wronglock1Bad,0.9909250736236572
Wronglock1Bad,1.0082600116729736
Wronglock1Bad,0.8468985557556152
Wronglock1Bad,0.8453249931335449
Wronglock1Bad_jpf,0.8981499671936035
Wronglock1Bad_jpf,0.9037942886352539
Wronglock1Bad_jpf,0.9851992130279541
Wronglock1Bad_jpf,0.8244147300720215
Wronglock3Bad,0.9323818683624268
Wronglock3Bad,1.0097203254699707
Wronglock3Bad,0.9783730506896973
Wronglock3Bad,1.1406505107879639
Wronglock3Bad_jpf,3.395519495010376
Wronglock3Bad_jpf,3.6403415203094482
Wronglock3Bad_jpf,3.3730406761169434
Wronglock3Bad_jpf,3.3818671703338623
WronglockBad,1.1195480823516846
WronglockBad,1.1771948337554932
WronglockBad,1.2913916110992432
WronglockBad,1.041128158569336
WronglockBad_jpf,>30
WronglockBad_jpf,>30
WronglockBad_jpf,>30
WronglockBad_jpf,>30
