test,time
Wronglock3Bad,2.0055911540985107
Wronglock3Bad,1.4581408500671387
Wronglock3Bad,1.479562520980835
Wronglock3Bad,1.7037041187286377
Wronglock3Bad,1.7092459201812744
Wronglock3Bad,1.394991397857666
Wronglock3Bad,1.4612195491790771
Wronglock3Bad,1.4448933601379395
Wronglock3Bad,1.4493262767791748
Wronglock3Bad,1.4843864440917969
Wronglock3Bad,1.5598101615905762
Wronglock3Bad,1.5454449653625488
Wronglock3Bad,1.5663306713104248
Wronglock3Bad,1.450425148010254
Wronglock3Bad,1.7125861644744873
Wronglock3Bad,1.4554483890533447
Wronglock3Bad,1.5469510555267334
Wronglock3Bad,1.5052955150604248
Wronglock3Bad,1.486600637435913
Wronglock3Bad,1.590322732925415
Wronglock3Bad,1.4840788841247559
Wronglock3Bad,1.451153039932251
Wronglock3Bad,1.637033224105835
Wronglock3Bad,1.6292121410369873
Wronglock3Bad,1.7196049690246582
Wronglock3Bad,1.5168242454528809
Wronglock3Bad,1.6307644844055176
Wronglock3Bad,1.5193092823028564
Wronglock3Bad,1.6856768131256104
Wronglock3Bad,1.624453067779541
Wronglock3Bad,1.5547027587890625
Wronglock3Bad,1.6427860260009766
Wronglock3Bad,1.5213282108306885
Wronglock3Bad,1.5615293979644775
Wronglock3Bad,1.4787187576293945
Wronglock3Bad,1.7298650741577148
Wronglock3Bad,1.9028847217559814
Wronglock3Bad,1.766150712966919
Wronglock3Bad,1.5753231048583984
Wronglock3Bad,1.4276959896087646
Wronglock3Bad,1.6153080463409424
Wronglock3Bad,1.6902132034301758
Wronglock3Bad,1.5138401985168457
Wronglock3Bad,1.764855146408081
Wronglock3Bad,1.9554970264434814
Wronglock3Bad,1.5756983757019043
Wronglock3Bad,1.60101318359375
Wronglock3Bad,1.4970052242279053
Wronglock3Bad,1.535146713256836
Wronglock3Bad,1.4102821350097656
Wronglock3Bad,1.5274794101715088
Wronglock3Bad,1.462573766708374
Wronglock3Bad,1.5073423385620117
Wronglock3Bad,1.4235455989837646
Wronglock3Bad,1.7972424030303955
Wronglock3Bad,1.467583179473877
Wronglock3Bad,1.3895454406738281
Wronglock3Bad,1.6763365268707275
Wronglock3Bad,1.4556260108947754
Wronglock3Bad,1.410360336303711
Wronglock3Bad,1.4665038585662842
Wronglock3Bad,1.6937530040740967
Wronglock3Bad,1.6858100891113281
Wronglock3Bad,1.6922802925109863
Wronglock3Bad,1.47892427444458
Wronglock3Bad,1.3842158317565918
Wronglock3Bad,1.7289817333221436
Wronglock3Bad,1.5306529998779297
Wronglock3Bad,1.5672950744628906
Wronglock3Bad,1.4342923164367676
Wronglock3Bad,1.5504956245422363
Wronglock3Bad,1.565979242324829
Wronglock3Bad,1.5813922882080078
Wronglock3Bad,1.6051530838012695
Wronglock3Bad,1.9939789772033691
Wronglock3Bad,1.4967644214630127
Wronglock3Bad,1.573157787322998
Wronglock3Bad,1.5026261806488037
Wronglock3Bad,1.3410296440124512
Wronglock3Bad,1.9654076099395752
Wronglock3Bad,1.5776007175445557
Wronglock3Bad,1.5926365852355957
Wronglock3Bad,1.530590534210205
Wronglock3Bad,1.7398078441619873
Wronglock3Bad,1.6253657341003418
Wronglock3Bad,1.4257407188415527
Wronglock3Bad,1.4427180290222168
Wronglock3Bad,1.3861947059631348
Wronglock3Bad,1.5514214038848877
Wronglock3Bad,1.5301434993743896
Wronglock3Bad,1.6348130702972412
Wronglock3Bad,1.6889808177947998
Wronglock3Bad,1.6125216484069824
Wronglock3Bad,1.485952377319336
Wronglock3Bad,1.4566254615783691
Wronglock3Bad,1.6628813743591309
Wronglock3Bad,1.5806477069854736
Wronglock3Bad,1.4192681312561035
Wronglock3Bad,1.4877920150756836
Wronglock3Bad,1.4786162376403809
Wronglock3Bad,1.4420745372772217
Wronglock3Bad,1.5332481861114502
Wronglock3Bad,1.5979952812194824
Wronglock3Bad,1.4302270412445068
Wronglock3Bad,1.3901989459991455
Wronglock3Bad,1.6430609226226807
Wronglock3Bad,1.4699652194976807
Wronglock3Bad,1.4955477714538574
Wronglock3Bad,1.5033109188079834
Wronglock3Bad,1.4627690315246582
Wronglock3Bad,1.5611426830291748
Wronglock3Bad,1.4802796840667725
Wronglock3Bad,1.5230443477630615
Wronglock3Bad,1.5089850425720215
Wronglock3Bad,1.436112642288208
Wronglock3Bad,1.5978963375091553
Wronglock3Bad,1.6006929874420166
Wronglock3Bad,1.7900631427764893
Wronglock3Bad,1.6388261318206787
Wronglock3Bad,1.5615308284759521
Wronglock3Bad,1.6168203353881836
Wronglock3Bad,1.4802663326263428
Wronglock3Bad,1.5512065887451172
Wronglock3Bad,1.4244358539581299
Wronglock3Bad,1.5143065452575684
Wronglock3Bad,1.434476375579834
Wronglock3Bad,1.477489709854126
Wronglock3Bad,1.457808256149292
Wronglock3Bad,1.5799498558044434
Wronglock3Bad,1.618356704711914
Wronglock3Bad,1.6970841884613037
Wronglock3Bad,1.5309312343597412
Wronglock3Bad,1.609384298324585
Wronglock3Bad,1.4642512798309326
Wronglock3Bad,1.5458471775054932
Wronglock3Bad,1.718195915222168
Wronglock3Bad,1.7045040130615234
Wronglock3Bad,1.5174248218536377
Wronglock3Bad,1.5025608539581299
Wronglock3Bad,1.52213716506958
Wronglock3Bad,1.520941972732544
Wronglock3Bad,1.437438726425171
Wronglock3Bad,1.5672087669372559
Wronglock3Bad,1.5482769012451172
Wronglock3Bad,1.409999132156372
Wronglock3Bad,1.7434909343719482
Wronglock3Bad,1.3552227020263672
Wronglock3Bad,1.5576462745666504
Wronglock3Bad,1.528505802154541
Wronglock3Bad,1.414902925491333
Wronglock3Bad,1.5344016551971436
Wronglock3Bad,1.5154902935028076
Wronglock3Bad,1.494844913482666
Wronglock3Bad,1.6951682567596436
Wronglock3Bad,1.6876835823059082
