test,P,violated,k
WrongStripedMap1Bad,0.5,1000,5
WrongStripedMap1Bad,0.8,1000,11
WrongStripedMap2Bad,0.5,1000,5
WrongStripedMap2Bad,0.8,1000,11
WrongStripedMap3Bad,0.5,1000,5
WrongStripedMap3Bad,0.8,1000,11
